Year,Month,Value
2015,Jan,6.40
2015,Feb,6.20
2015,Mar,5.80
2015,Apr,5.70
2015,May,6.20
2015,Jun,7.00
2015,Jul,7.30
2015,Aug,6.50
2015,Sep,6.20
2015,Oct,6.00
2015,Nov,5.80
2015,Dec,5.60
2016,Jan,5.80
2016,Feb,5.70
2016,Mar,5.50
2016,Apr,5.50
2016,May,5.50
2016,Jun,6.80
2016,Jul,7.00
2016,Aug,6.50
2016,Sep,6.30
2016,Oct,6.20
2016,Nov,5.90
2016,Dec,5.70
2017,Jan,6.20
2017,Feb,6.10
2017,Mar,5.60
2017,Apr,5.40
2017,May,5.40
2017,Jun,6.20
2017,Jul,6.50
2017,Aug,5.80
2017,Sep,5.30
2017,Oct,5.00
2017,Nov,4.90
2017,Dec,4.60
2018,Jan,5.00
2018,Feb,4.70
2018,Mar,4.30
2018,Apr,4.10
2018,May,4.00
2018,Jun,5.20
2018,Jul,5.20
2018,Aug,4.80
2018,Sep,4.50
2018,Oct,4.50
2018,Nov,4.40
2018,Dec,4.50
2019,Jan,5.10
2019,Feb,4.60
2019,Mar,4.20
2019,Apr,4.20
2019,May,4.40
2019,Jun,5.30
2019,Jul,5.60
2019,Aug,4.80
2019,Sep,4.30
2019,Oct,4.40
2019,Nov,4.30
2019,Dec,4.20
2020,Jan,4.80
2020,Feb,4.60
2020,Mar,5.60
2020,Apr,8.80
2020,May,9.50
2020,Jun,9.30
2020,Jul,9.70
2020,Aug,8.10
2020,Sep,8.30
2020,Oct,7.40
2020,Nov,7.30
2020,Dec,7.70
2021,Jan,7.90
2021,Feb,7.50
2021,Mar,7.00
2021,Apr,7.00
2021,May,6.70
2021,Jun,7.80
2021,Jul,7.50
2021,Aug,6.40
2021,Sep,5.60
2021,Oct,5.30
2021,Nov,5.10
2021,Dec,4.70
2022,Jan,5.10
2022,Feb,4.50
2022,Mar,3.90
2022,Apr,3.70
2022,May,3.60
2022,Jun,4.30
2022,Jul,4.00
2022,Aug,3.40
2022,Sep,3.10
2022,Oct,3.00
2022,Nov,2.90
2022,Dec,2.80
2023,Jan,3.40
2023,Feb,3.30
2023,Mar,2.90
2023,Apr,2.80
2023,May,3.10
2023,Jun,3.90
2023,Jul,4.20
2023,Aug,3.80
2023,Sep,3.50
2023,Oct,3.50
2023,Nov,3.40
2023,Dec,3.20
2024,Jan,3.50
2024,Feb,3.50
2024,Mar,3.20
2024,Apr,3.20
2024,May,3.50
2024,Jun,4.50
2024,Jul,5.00
2024,Aug,4.30
2024,Sep,3.90
2024,Oct,4.00
2024,Nov,4.00
2024,Dec,3.60
2025,Jan,4.20
2025,Feb,4.00
2025,Mar,3.50
2025,Apr,3.3(P)
